Name,Skills,College,Degree,Field,Company,Position
Riya Patel,"Data Analysis, Tableau, PowerBI, R, Python, Statistical Analysis, L1 L2 Regression, Machine Learning","AMN College of Engineering, Hosiyarpur",B.Tech,,R&M Solutions,Data Analyst Intern
Ananya Mehta,"account reconciliation, accounting, accounts payable, accruals, accrual, balance sheet, Balance, balance sheets, bank reconciliation, benefits, billing, budgeting, COBOL, Computer Programming, corporate accounting, credit, dialysis, documentation, senior management, expense reports, finance, financial, financial reports, financial statements, fixed assets, general ledger, insurance, letters, Access, Excel, money, PowerPoint, Word, month-end closing, month end close, primary care, processes, profit and loss, real estate, reporting, sales, SAP, settlements, tax, taxes, treasury, year-end","Gujarat University, Triton College in River Grove, IL","Master degree, N/A","Accounting, Computer Programming in COBOL language","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Accountant, Accountant, Staff Accountant/ Lease Administrator, Assistant Claim Approver, Proof Operator, Billing Associate, Account Receivable Clerk"
Vihaan Gupta,"Data Science, Data Analysis, Machine Learning, Deep Learning, Statistical Analysis, Data Mining, Computer Vision, Algorithm Development, Linear Regression, Market Basket Analysis, Python, R, SQL, NoSQL","Delhi College of Art, Aegis School of Business & Data Science","B.Com, PG Diploma","Commerce, Data Science and Business Analytics","HP, Adnet Global","Lead Data Scientist, Data Scientist"
Ananya Verma,"Business analyst, Data modeling, Business intelligence, ERP implementation, html, Requirement Gathering, Power Bi, Project Management","SP University, SP University","BBA, MBA","Management, Information Technology",JVV IT Solutions,Business Analyst
Aanya Kapoor,"python, C++, Haskell, PyTorch, JAX, Pandas, scikit-learn, matplotlib, Linux, bash, Unity, HPC, git","University of Southern California, Viterbi School of Engineering, CACS Research Group, The University of Tokyo, User Interface Research Group, The University of Tokyo","Ph.D. in Computer Science, Master in Computer Science, Bachelor in Physics","Computer Science, Computer Science, Physics","Meta Inc., Cepton Inc., Meta Inc., Cepton Inc., USC Vision & Graphics Lab, Institute of Science and Technology Austria, University of Tokyo","Research Scientist, Software Engineer, Machine Learning Engineer Intern, Software Engineer Intern, Research Assistant, Research Intern, Research Assistant"
Saanvi Mehta,"Requirement Analysis, Machine Learning, Predictive Analytics, Python, Tableau, PowerBI, R, SQL, Advanced Excel, Business Analytics",Sri Venkateshwara University (SVU),B.CA,Computer Applications,CDX Infotech,BU Analyst Intern
Priya Bose,"3D modeling, architectural drafting, AutoCAD, read blueprints, carpentry, Detail oriented, drafting, email, floor plans, frame, 3dsMax, mechanical, messaging, Microsoft Office applications, Multi-tasking, painting, problem solving skills, reading, renovation, Revit, self-motivated, supervisor",ITT Technical Institute,A.A.S,Drafting and Design,"Company Name, Company Name, Company Name, Company Name","Engineering Technician, Material Handler, Laborer, Janitorial/Construction Laborer"
Aarav Reddy,"active directory, bridges, client, Designing, DHCP, DNS, imaging, ITIL v, Managing, messaging, access, MCSE, mail, office, outlook, Microsoft technologies, Windows, window, Migration, network, networks, producer, routers, servers, SLA, technical support, desktop support, troubleshooting, upgrade","National Institute of Technology(NIT) City , India",Bachelor of Engineering (B.E,,"Avanade, Company Name, Company Name, Company Name","Software Engineering Team Lead, IT Analyst, Windows Administrator, Technical Support Engineer"
Arjun Das,"C, C++, Python, JAVA, HTML, CSS, JavaScript, Data Structures, SQL, PyCharm, Jupyter Notebook, Google Colab, Code Blocks, MATLAB, Turbo C++, MS Office, Scikit-Learn, TensorFlow, OpenCV, NumPy, Pytesseract, Keras","Dayalbagh Educational Institute, Dayalbagh, Agra, St. Clares Senior Secondary School, Agra, St. Clares Senior Secondary School, Agra","B.Tech. (Electrical Engineering Specialization in Computer Science), XII, X","Electrical Engineering Specialized in Computer Science, N/A, N/A","Genisup India Pvt. Ltd., VUGS Technologies","Intern, Intern"
Diya Verma,"Machine Learning, Python, SQL, Artificial Intelligence, Business Analytics, Data Extraction, Data Analysis, Python, Haskell, Flutter, Android","D&D University, Daman and Diu",B.Tech,,AdSense Media,Machine Learning Developer
Kabir Sharma,"Communication Skills, High efficiency, High attention to Details, ERP/Accounting systems Proficiency, Advanced utilization Microsoft Office Suite, Excel","Monash University, Victoria University","Master of Business, Bachelor of Commerce","Accounting, Accounting & Finance","Company Name, Company Name, Company Name, Company Name, Company Name","Financial Accountant, Assistant Accountant, Assistant Accountant, Front Office Officer, Internship - Credit Officer"
Karan Ghosh,"Exceptional time management, Operational analysis, Root cause analysis, Technical plan execution aptitude, Highly dependable, Detail-oriented, Strong leader, Manufacturing process controls, Proficient in SolidWorks, Decisive, Product improvement, A+, client server, hardware, computer networks, Computer sales, clients, database, desktops, Documentation, functional, HP, HP NetServers, Inventory management and Control, laptops, marketing, materials, Windows, windows XP, Migration, network printers, network, NICs, operating systems, OS, progress, Protocols, Purchasing, QA, RAID, repairs, repairing, servers, specification, Technical Support, Troubleshoot, Troubleshooting, Upgrading, usability testing, validation, Vista","San Jose State University, Mission College","Bachelor of Science, A.S","Electronics Engineering Technology, Computer Science","Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name, Company Name","Engineering Technician, Quality Analyst/Document Control Specialist, IT Associate, Test Technician, Computer/Network Instructor, Network Systems QA Tester, Quality Assurance Technician, QA Tester"
Aisha Sharma,"accounting, Accountant, Arabic, Balance Sheet, bank reconciliations, com, resolve customer complaints, Customer Service, databases, delivery, E-mail, English, expense reports, Financial, Financial and accounting, financial statements, forms, general ledger, Lecturer, excel, office, Microsoft word, Page, pricing, QuickBooks, telephone, phone, workflow, written",Alexandria University,Trained as Accountant,Account solution,"Company Name, Company Name, Company Name, Company Name","N/A, N/A, General Accountant, General Accountant"
Neha Patel,"Academic, Documentation, Edge, Fiber optics, Laser, Mechanical, Scanning","University of Washington, National Taiwan University, National Central University Taiwan","Ph. D, M. S, B. S","Mechanical Engineering, Bio-Industrial Mechatronics Engineering, Mechanical Engineering","N/A, N/A, N/A","Process Engineering Intern, Research Assistant, Graduate Researcher"
Diya Rao,"Live Electrical, Arc Flash, Lock-Out/Tag-Out, ESD, functional testing, test equipment repair and operation, troubleshooting, ISO-9001 standards, electrical equipment operation, Mechanical repair, oil servicing, Power Generation, soldering, electrical component repair, safety awareness, schematics, blueprints, drawings, various testing equipment, equipment/wiring installation, solenoid/valves, PC repair, fabrication, well organized, self motivated, excellent written and verbal communication skills","Embry Riddle Aeronautical University, Pueblo High School","Bachelor of Science, Diploma","Professional Aeronautics, N/A","Company Name, Company Name, Company Name, Company Name","Engineering Technician III, Generator Test Technician III, Unmanned Aerial Vehicle (UAV) Maintenance Technician, Electrical Power Generation Equipment Repairer Technician"
Vikram Jain,"Python, Java, HTML 5, SQL, C Programming, Excel, Access",North Dakota State University,Bachelor of Science,"Computer Science, Minor: Mathematics","IBM, NDSU IT","Software Engineering Intern, IT Help Desk Support"
Aisha Mehta,"Research Associate, Business Analyst, Business Analytics, Data Mining, Data Modeling, Predictive Analysis, Business Intelligence, Machine Learning, Market Research, Customer Engagement, Risk Management, Retention, Audience, Python",Bhavleesh Duggar College,B.Tech,Mechanical,Kripa Infotech,Associate Market Research Analyst Intern
Ishaan Nair,"Machine learning, Data science, PowerBI, Data visualisation, Data Mining, Data Modelling, Data Extraction, Text Analysis, Natural Language Processing",JIoT Belemundi,B.Tech,,Invictus Qualis,
Aisha Gupta,,"University of Warsaw, University of Warsaw","Ph.D., M.S.","Computer Science, Computer Science","University of Kentucky, University of Kentucky, University of Kentucky, University of Kentucky, Columbia University, Columbia University, Columbia University, University of Warsaw, University of Warsaw","Professor Emerytus, Professor, Director of Graduate Studies, Associate Professor, Associate Professor, Assistant Professor, Visiting Assistant Professor, Assistant Professor, Teaching and Research Assistant"
Ananya Ghosh,"Data Scientist, Data Analyst, Software Development, Machine Learning, Natural Language Processing, Business Solutions, Process Flow, Logistic Regression, MySQL, MongoDB, Python, PowerBI, Hadoop","Rajiv Gandhi Proudyogiki Vishwavidyalaya (RGPV), Bhopal",B.E. (Data Engineering),Data Engineering,United Health Group,Data Scientist
Arjun Singh,"Executive Decision Maker, Process Design & Improvement, New Product Development, Strategic Planning & Development, Lean & Six Sigma Practitioner, Product Design, Budgetary and Policy Development, Automation Design, Quality Control, Project Management & Execution, Economic Analysis, Ergonomic and Safety Conscious","KELLER GRADUATE SCHOOL OF MANAGEMENT, DEVRY UNIVERSITY, MINNESOTA STATE UNIVERSITY, NORTHWEST IOWA COMMUNITY COLLEGE","Master of Business Administration, Bachelor of Science, Manufacturing Engineering Technology","Project & Program Management, Political Science, Manufacturing Engineering Technology","Company Name, Company Name, Company Name, Company Name, Company Name","Engineering Manager, Project Manager, Senior Manufacturing Engineer, Senior Manufacturing Engineer, Manufacturing Engineer"
Diya Reddy,"DBMS, RDBMS, Software Developer, Software Engineer, Java, SAS, SQL, Business Intelligence, Learning Algorithm, Machine Learning, Python",Vellore Institute of Technology (VIT),Integrated B.Tech & M.Tech,Software Engineering,Cognibot,Intern
Kabir Ghosh,"Account reconciliation, accounting, general accounting, accounting software, accounts payables, accounts receivables, A/P, Arabic, Balance sheet, bank reconciliations, banking, billing, bookkeeping, budgeting, budgets, budget, closing, Strong communication skills, Controller, client, clients, documentation, English, Equity, finance, financial, financial analysis, analyze financial statements, financial statements, prepare financial statements, Fixed Assets, forecasting, general ledger, GL, inventory, Investments, ledger, market, Access, Excel, Outlook, PowerPoint, MS Word, monitors, organizational, payables, payroll, personnel, problem solving, processes, Profit, Profit and loss account, Public Accounting, Express, QuickBooks, reporting, Sales, supervision, Swedish, Tax, tax returns, year-end","Walsh College, Stockholm University, Al Turath University, Svenskab rsrum Institute","Master of Accountancy, Bachelor of Accountancy Degree, Bachelor of Accountancy, Certificate of Business Administration","Accounting, N/A, N/A, N/A","Company Name, Company Name, Company Name, Company Name","Accountant, Accountant, Accounting Manager, Staff Accountant Finance Manager"
Aarav Nair,"PLC, IEC 61131 (Ladder Logic, Functional Block Diagram, Structured Text, Instruction List.), Java, C, Visual Basic, VHDL, PSpice, Assembly (Intel, Motorola, TI), Labview, AutoCAD, Inventor, Matlab, Microsoft Office, PSIM, Easy Power, Xilinx ISE, Printed Circuit Board CAD (Protel), Siemens Step 7, Wago CoDeSys, Allen Bradley RSLogix, ERP (Alliance, Global Shop, XA, SAP), API, automation, budgeting, cabling, CAD, Conversion, client, clients, DC, Designing, flash, Functional, hardware design, HP, HVAC, instruction, Intel, microprocessor, Modeling, Motorola, Power distribution, power generation, processes, Programming, proposals, Renovation, renovations, safety, scheduling, schematics, Siemens, simulation, staff management, Structured, Supervising, switchgear, tender, troubleshoot, troubleshooting, validation",University of Oklahoma,Bachelor of Science,Electrical and Computer Engineering,"Company Name, Company Name, Company Name, Company Name, Company Name","Engineering Supervisor, Electrical Design Engineer, Project Engineer, Facility Engineer, Automation Engineer, Intern"
